id,type,wait_time,exec_time
567,4096-2048,359928500.0,28328084.832904886
562,4096-4096,551637800.0,113043766.06683806
585,256-128,92503600.0,5276.14598540146
588,256-128,32503600.0,5276.14598540146
564,256-1024,512896900.0,259054.01459854015
582,256-1024,152836200.0,259054.01459854015
568,256-8192,448720100.0,16076905.109489052
584,1024-256,129702000.0,86862.75862068965
569,1024-512,430060300.0,340165.5172413793
572,1024-512,370060300.0,340165.5172413793
543,1024-1024,951648300.0,1345724.1379310344
577,1024-1024,271406100.0,1345724.1379310344
583,1024-2048,155353600.0,5355379.310344827
544,1024-4096,953020100.0,21371724.137931034
551,1024-8192,877257500.0,85355862.06896552
558,1024-8192,741191000.0,85355862.06896552
592,512-256,61565700.0,29671.675392670157
586,512-2048,183397900.0,1765774.8691099477
591,512-2048,83310700.0,1765774.8691099477
587,4096-256,164854700.0,456702.44215938303
589,4096-4096,237441700.0,113043766.06683806
532,4096-8192,1718991000.0,451714652.95629823
604,256-128,277022000.0,5276.14598540146
605,256-256,257034800.0,18064.642335766424
597,256-4096,421439700.0,4035970.802919708
611,256-4096,141052700.0,4035970.802919708
614,512-128,82060800.0,8081.408376963351
600,512-256,362469400.0,29671.675392670157
610,512-512,162166500.0,113754.03141361257
612,512-512,122174600.0,113754.03141361257
602,512-2048,323848200.0,1765774.8691099477
616,512-4096,49194800.0,7028298.4293193715
617,512-4096,29202900.0,7028298.4293193715
596,2048-128,450643500.0,53532.0
609,2048-512,191025900.0,822960.0
590,2048-1024,574072000.0,3271200.0
553,2048-2048,1325257600.0,13044000.0
559,2048-2048,1207263900.0,13044000.0
603,1024-256,327658600.0,86862.75862068965
619,1024-256,7649900.0,86862.75862068965
606,1024-512,267911900.0,340165.5172413793
615,1024-512,87998800.0,340165.5172413793
593,1024-2048,533470600.0,5355379.310344827
598,1024-4096,449670700.0,21371724.137931034
613,1024-4096,149370600.0,21371724.137931034
620,1024-256,9355600.0,86862.75862068965
621,1024-256,0.0,86862.75862068965
594,1024-8192,598826500.0,85355862.06896552
607,4096-512,341164300.0,1794325.1928020567
622,4096-512,41082700.0,1794325.1928020567
618,4096-4096,234202300.0,113043766.06683806
565,4096-8192,1633571200.0,451714652.95629823
632,256-128,293565200.0,5276.14598540146
629,256-256,353721700.0,18064.642335766424
639,256-2048,154578700.0,1018715.3284671532
628,256-4096,377739600.0,4035970.802919708
643,1024-256,78682800.0,86862.75862068965
